Temperature (°C),Pressure (bar),CO2 Concentration (%),Flow Rate (m³/h),Sorbent Type,Surface Area (m²/g),Pore Size (nm),Stability (1-10),pH Level,CO2 Outlet Concentration (%),Energy Consumption (MJ/kg CO2),Cycle Time (min),Capture Efficiency (%),Regeneration Temp (°C),Solvent Concentration (%),Reactor Volume (m³),Residence Time (s),Reboiler Duty (kW),Column Height (m),CO2 Emitted (kg/hr),Energy Used Efficiently (MJ)
64.88,6.25,15.07,1333.94,Amine-Grafted Silica,900.0,1.1,8,7.42,3.11,5.94,17.75,76.61,132.89,26.2,4.03,69.52,2936.34,43.09,312.7,171.75
48.34,1.46,17.79,1076.52,Zeolite 13X,600.0,1.0,8,7.34,4.77,4.29,51.51,55.45,93.79,21.03,5.98,223.35,3035.43,44.08,274.72,138.82
68.09,8.76,16.94,1619.91,Zeolite 13X,600.0,1.0,8,8.14,3.34,5.74,20.25,78.42,109.61,16.13,6.48,282.85,744.96,7.85,431.8,220.93
45.67,3.53,14.02,1992.44,MOF-5,3500.0,0.8,9,7.59,1.28,3.71,55.61,66.01,107.82,29.81,8.56,61.73,1009.71,49.5,497.52,353.55
46.58,5.91,9.61,1313.62,Amine-Grafted Silica,900.0,1.1,8,6.96,3.05,2.22,18.54,64.2,93.15,24.66,9.81,276.55,2164.45,22.87,168.9,378.18
47.91,8.85,15.58,1664.3,Amine-Grafted Silica,900.0,1.1,8,6.04,2.51,2.36,44.93,66.81,87.37,19.52,9.77,114.54,956.78,7.3,426.35,469.16
37.3,9.82,13.36,209.25,Zeolite 13X,600.0,1.0,8,7.7,3.03,3.74,7.43,53.07,102.57,33.22,8.83,297.77,2671.97,11.93,42.37,29.61
71.94,2.0,14.13,279.82,Amine-Grafted Silica,900.0,1.1,8,8.36,3.19,3.81,14.18,50.64,114.88,11.97,4.5,251.0,2131.06,12.77,60.0,37.09
63.83,8.23,10.41,384.1,Activated Carbon,1200.0,1.5,6,5.61,1.71,5.72,15.84,51.84,91.6,29.91,4.48,245.78,3331.9,36.53,65.5,34.75
37.6,3.85,5.43,892.54,MEA,0.5,1.2,7,8.84,2.06,5.93,19.31,59.93,110.98,24.53,2.14,144.83,2713.95,36.69,58.95,90.05
58.6,7.14,14.98,1563.08,Amine-Grafted Silica,900.0,1.1,8,5.34,0.98,2.24,21.06,52.26,120.22,30.06,2.01,295.61,1608.09,39.28,428.91,363.05
79.93,1.04,13.49,492.82,Zeolite 13X,600.0,1.0,8,7.93,2.09,5.53,22.1,54.9,90.39,18.47,7.81,55.06,3549.2,7.75,110.12,48.84
84.69,3.68,14.76,164.95,Zeolite 13X,600.0,1.0,8,7.73,3.57,3.45,30.84,87.4,134.86,25.36,1.52,280.88,3813.35,35.35,36.18,41.67
92.57,2.81,18.37,960.18,Zeolite 13X,600.0,1.0,8,5.75,3.5,3.01,13.16,66.88,149.23,28.45,3.24,169.31,3149.01,17.07,279.85,212.64
74.64,7.44,8.76,830.18,Zeolite 13X,600.0,1.0,8,6.1,2.11,3.43,17.31,54.2,143.49,31.4,2.77,181.63,2262.32,39.54,108.21,130.8
39.16,4.31,12.25,341.97,MEA,0.5,1.2,7,6.14,1.15,5.48,30.93,58.64,141.99,31.55,8.05,278.87,2806.75,9.46,74.4,36.53
56.94,7.48,6.7,1008.65,Activated Carbon,1200.0,1.5,6,7.16,0.88,3.05,55.0,52.47,142.39,18.55,9.18,236.04,2698.78,42.45,115.06,172.95
56.81,7.92,13.49,623.46,MOF-5,3500.0,0.8,9,5.26,2.86,3.69,16.35,62.61,130.55,24.82,5.16,56.67,1404.63,45.08,129.9,105.5
58.59,1.39,12.33,1410.83,MEA,0.5,1.2,7,5.68,2.25,5.36,30.19,78.7,131.02,39.04,2.99,272.7,1841.21,37.53,278.73,206.76
97.25,2.28,13.32,118.9,MOF-5,3500.0,0.8,9,5.35,4.79,4.38,48.41,70.18,92.84,31.08,0.52,228.57,986.01,11.2,19.88,19.01
99.99,6.28,9.99,1081.85,Amine-Grafted Silica,900.0,1.1,8,6.24,4.3,3.57,50.11,87.74,144.59,28.01,9.66,213.37,4303.12,31.86,120.65,265.14
53.68,4.16,16.28,911.17,Amine-Grafted Silica,900.0,1.1,8,8.01,1.85,2.27,22.65,84.73,138.05,24.83,2.49,180.59,4088.85,31.72,257.7,338.61
37.9,8.54,18.19,889.87,MEA,0.5,1.2,7,6.62,1.93,2.52,34.96,75.63,81.53,33.76,6.04,170.97,3239.39,22.07,283.6,266.01
118.21,9.58,11.05,240.32,Zeolite 13X,600.0,1.0,8,8.47,4.12,4.09,10.17,95.33,92.16,10.38,3.21,96.8,2853.01,21.98,32.64,55.88
111.29,4.59,6.75,429.22,MEA,0.5,1.2,7,6.24,2.09,4.56,21.35,98.77,141.16,18.9,9.75,77.09,617.78,12.08,39.2,92.77
69.35,7.64,18.64,1968.89,Zeolite 13X,600.0,1.0,8,7.21,3.64,2.91,9.93,69.42,127.3,33.46,3.2,155.92,4631.51,18.19,578.85,468.08
55.93,3.52,18.85,1206.14,Zeolite 13X,600.0,1.0,8,6.6,2.11,5.68,27.95,98.4,145.85,39.8,9.44,81.04,890.15,14.18,395.74,208.58
68.91,9.48,12.81,1724.03,MEA,0.5,1.2,7,7.55,3.44,2.53,49.96,74.64,92.77,38.05,9.81,90.87,4741.57,39.47,316.62,506.62
94.12,9.6,7.07,516.97,Zeolite 13X,600.0,1.0,8,7.29,2.79,3.78,50.39,69.91,120.75,14.15,7.47,38.88,4592.97,47.11,43.37,95.36
92.37,5.11,18.39,444.87,Activated Carbon,1200.0,1.5,6,5.99,0.68,5.58,18.08,80.41,91.07,26.0,9.61,252.72,1032.39,13.53,154.42,63.99
36.19,7.06,11.6,310.95,Zeolite 13X,600.0,1.0,8,7.86,3.73,3.57,16.87,86.69,92.33,32.75,3.48,229.98,4639.81,28.12,47.96,75.3
55.47,5.39,5.39,1138.68,MEA,0.5,1.2,7,8.0,4.63,3.06,33.06,63.25,85.97,32.84,8.93,171.18,2944.98,41.98,16.96,234.6
79.19,7.23,11.51,1371.16,Amine-Grafted Silica,900.0,1.1,8,7.61,3.26,3.62,21.22,84.33,147.46,23.94,1.36,84.17,4657.26,23.21,221.72,318.54
105.81,9.78,19.27,136.13,Zeolite 13X,600.0,1.0,8,6.91,4.55,2.54,39.9,85.83,102.48,29.88,1.24,40.3,621.34,33.42,39.28,45.82
46.38,4.91,18.08,1713.99,Amine-Grafted Silica,900.0,1.1,8,8.0,2.11,3.02,27.43,75.52,115.21,16.66,9.54,246.19,2975.6,9.25,536.5,427.2
50.98,9.09,17.64,1647.59,Amine-Grafted Silica,900.0,1.1,8,6.02,0.98,2.16,17.05,51.25,107.31,11.73,7.69,40.07,3121.41,15.11,538.0,389.12
113.12,6.37,10.06,420.15,MOF-5,3500.0,0.8,9,8.54,2.25,3.51,35.38,62.54,118.64,20.74,2.99,47.53,1159.8,24.59,64.31,74.65
89.92,8.39,11.28,330.39,Zeolite 13X,600.0,1.0,8,6.9,1.09,2.66,21.9,74.98,85.95,15.96,7.26,190.45,3043.25,5.27,65.99,92.78
45.23,5.66,13.45,702.75,MOF-5,3500.0,0.8,9,5.48,2.59,3.45,36.28,58.85,144.19,18.3,3.64,267.01,4020.57,34.29,149.58,119.53
68.61,5.69,19.84,1692.09,Amine-Grafted Silica,900.0,1.1,8,6.43,3.84,3.17,46.0,74.44,96.29,34.37,5.99,253.3,4642.64,48.67,530.64,396.1
90.85,7.17,18.49,1905.32,Amine-Grafted Silica,900.0,1.1,8,6.11,1.83,4.72,54.59,94.99,106.53,17.52,2.23,91.12,2416.6,23.39,622.16,382.63
62.92,5.17,15.69,1990.85,MOF-5,3500.0,0.8,9,6.64,1.85,4.95,27.35,96.98,112.48,17.27,1.42,97.07,3532.04,11.21,540.05,389.26
96.36,3.94,9.58,1923.7,Amine-Grafted Silica,900.0,1.1,8,5.32,3.08,4.05,29.85,83.26,87.42,17.77,7.38,177.33,4386.59,23.96,245.08,394.5
36.04,4.79,5.35,699.36,Amine-Grafted Silica,900.0,1.1,8,6.82,1.93,3.89,6.47,93.28,123.41,16.05,9.47,235.77,3144.59,10.51,46.88,167.27
74.6,5.01,6.43,1664.23,MOF-5,3500.0,0.8,9,8.31,3.72,4.89,26.06,98.23,92.15,27.11,2.15,299.22,2945.53,8.39,88.4,333.63
34.41,7.36,19.76,1642.94,MOF-5,3500.0,0.8,9,6.24,3.85,5.16,58.08,81.14,138.55,20.43,6.85,178.89,3660.68,45.23,512.33,257.85
98.55,3.0,8.31,628.74,MOF-5,3500.0,0.8,9,5.0,3.63,5.28,57.35,70.2,99.65,21.95,1.06,207.96,764.52,45.07,57.67,83.44
110.35,3.2,16.47,341.65,MOF-5,3500.0,0.8,9,8.8,0.98,2.94,48.25,74.69,98.12,19.16,5.9,192.64,3701.5,36.98,103.73,86.5
87.76,8.09,13.46,896.13,Activated Carbon,1200.0,1.5,6,7.0,2.67,5.95,13.59,80.18,137.11,11.7,2.41,201.76,3557.65,8.27,189.52,120.56
69.7,3.36,14.37,512.04,Zeolite 13X,600.0,1.0,8,6.2,1.97,4.64,10.69,73.9,119.3,34.24,2.93,250.7,4477.62,18.72,124.45,81.38
102.64,7.03,15.35,1647.68,MEA,0.5,1.2,7,7.45,1.85,2.87,38.18,51.02,83.59,24.54,8.52,198.88,3951.54,17.53,435.98,291.89
59.22,8.53,10.48,1258.31,Activated Carbon,1200.0,1.5,6,7.06,0.96,2.24,39.59,69.55,92.62,32.71,5.78,194.14,4132.69,15.81,234.79,388.96
103.57,7.1,18.28,699.67,MOF-5,3500.0,0.8,9,8.84,3.25,5.02,7.93,85.86,135.19,14.36,3.75,132.98,3257.13,16.69,206.11,119.43
41.61,3.84,5.53,802.52,Amine-Grafted Silica,900.0,1.1,8,6.14,0.88,2.79,13.36,84.28,148.02,39.77,2.59,113.24,1628.39,5.44,73.14,241.56
39.52,8.52,19.94,995.43,Activated Carbon,1200.0,1.5,6,8.84,3.87,3.85,43.76,92.44,118.02,29.38,5.66,112.62,2994.31,17.34,313.53,238.39
32.73,8.83,11.77,1534.63,MOF-5,3500.0,0.8,9,5.36,1.19,3.26,16.98,52.73,123.34,33.99,0.91,294.86,4957.6,24.83,318.23,247.46
61.96,9.53,7.92,1849.5,MEA,0.5,1.2,7,5.68,2.9,3.69,24.64,75.12,99.08,16.92,9.48,187.67,1880.86,11.1,181.98,375.5
89.94,6.85,17.64,466.2,MEA,0.5,1.2,7,8.85,0.84,4.98,11.37,60.15,136.74,25.23,7.97,125.43,2620.91,25.68,153.51,56.2
65.47,4.12,19.49,1795.41,Zeolite 13X,600.0,1.0,8,7.27,1.99,2.1,22.31,56.5,149.11,32.7,5.84,168.96,2391.29,23.31,615.83,480.76
116.85,8.59,14.07,1110.97,Amine-Grafted Silica,900.0,1.1,8,8.45,4.69,3.59,8.91,92.16,146.56,28.1,6.96,291.51,854.92,13.88,204.25,284.41
35.42,2.78,11.69,578.06,MOF-5,3500.0,0.8,9,6.1,4.75,5.97,59.55,96.57,132.47,33.5,7.53,119.25,1582.75,36.3,78.63,93.35
110.14,8.06,13.91,190.73,Activated Carbon,1200.0,1.5,6,5.7,4.51,2.58,13.74,91.43,149.62,19.39,4.89,20.72,4892.04,45.93,35.14,67.33
68.95,4.23,9.3,1790.11,Amine-Grafted Silica,900.0,1.1,8,8.14,4.9,3.96,8.5,78.7,117.85,10.06,9.8,245.73,2471.79,11.25,154.38,354.87
44.69,1.85,19.53,1036.84,Zeolite 13X,600.0,1.0,8,6.04,3.0,3.01,30.26,94.18,89.35,30.39,1.09,32.39,4452.77,14.46,335.92,323.34
52.75,8.58,9.54,1009.19,MEA,0.5,1.2,7,5.21,3.21,3.12,51.62,98.16,145.55,28.16,4.45,173.72,4960.95,18.16,125.21,316.49
111.38,8.49,9.86,203.74,Activated Carbon,1200.0,1.5,6,6.46,2.57,4.59,51.44,75.33,100.82,30.58,5.97,112.59,3567.78,25.89,29.11,33.36
91.03,2.42,19.64,1362.58,MOF-5,3500.0,0.8,9,6.38,4.54,3.87,42.76,98.61,106.23,14.56,5.44,234.39,1455.82,30.79,403.27,346.3
101.17,4.67,15.12,910.24,MEA,0.5,1.2,7,5.71,4.56,5.07,28.53,66.29,87.83,14.91,3.44,212.95,2679.41,48.56,188.4,118.78
41.16,1.31,15.15,1619.94,MOF-5,3500.0,0.8,9,8.69,4.4,2.23,36.04,67.14,124.01,19.33,4.31,264.41,626.58,38.67,341.32,485.55
67.58,7.18,13.0,372.9,Zeolite 13X,600.0,1.0,8,6.4,2.22,2.04,10.69,50.13,94.62,36.74,3.24,247.99,4918.87,46.14,78.79,91.19
97.7,1.15,6.66,1052.43,MOF-5,3500.0,0.8,9,5.57,4.58,2.79,51.88,51.67,88.46,19.69,1.17,135.26,2680.3,37.96,42.91,194.21
